target,slice_point,oversampled,clf,reg0,reg1,reg2,reg0_is_post,reg1_is_post,reg2_is_post,mae,amae
1,9.5,True,RandomForest,HistGradientBoosting,XGB,XGB,False,True,True,1.7331761789648756,4950.357953938115
1,9.5,True,RandomForest,HistGradientBoosting,XGB,XGB,True,False,False,0.7841431007688138,4699.4557322028695
1,9.5,True,RandomForest,HistGradientBoosting,XGB,XGB,True,False,True,0.6691717854889132,5195.725138064048
1,9.5,True,RandomForest,HistGradientBoosting,XGB,XGB,True,True,False,1.937468712053951,4453.996157067389
1,9.5,True,RandomForest,HistGradientBoosting,XGB,XGB,True,True,True,1.8224973967740505,4950.265562928566
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,HistGradientBoosting,False,False,False,0.7382400843792394,4380.634716584897
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,HistGradientBoosting,False,False,True,0.6025104953759842,4945.793499353427
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,HistGradientBoosting,False,True,False,2.0996674646201465,4097.867404118773
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,HistGradientBoosting,False,True,True,1.9639378756168915,4663.026186887304
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,HistGradientBoosting,True,False,False,0.8678705312815966,4380.514306524569
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,HistGradientBoosting,True,False,True,0.7321409422783415,4945.6730892931
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,HistGradientBoosting,True,True,False,2.229297911522504,4097.746994058446
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,HistGradientBoosting,True,True,True,2.093568322519249,4662.905776826977
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,RandomForest,False,False,False,0.7939345928266873,4219.398653028642
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,RandomForest,False,False,True,0.6324764689437138,4811.777199904858
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,RandomForest,False,True,False,2.352817127848078,3906.6048030006737
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,RandomForest,False,True,True,2.191359003965104,4498.98334987689
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,RandomForest,True,False,False,0.9149863396060225,4219.263797567439
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,RandomForest,True,False,True,0.753528215723049,4811.642344443655
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,RandomForest,True,True,False,2.4738688746274136,3906.4699475394714
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,RandomForest,True,True,True,2.31241075074444,4498.848494415687
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,XGB,False,False,False,0.6963648031121374,4695.859594866773
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,XGB,False,False,True,0.582183460356008,5188.847061478084
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,XGB,False,True,False,1.8529888207789855,4452.000749234925
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,XGB,False,True,True,1.7388074780228562,4944.988215846237
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,XGB,True,False,False,0.7858466836148077,4695.766769855327
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,XGB,True,False,True,0.6716653408586782,5188.754236466639
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,XGB,True,True,False,1.9424707012816556,4451.90792422348
1,9.5,True,RandomForest,RandomForest,HistGradientBoosting,XGB,True,True,True,1.828289358525526,4944.895390834792
1,9.5,True,RandomForest,RandomForest,RandomForest,HistGradientBoosting,False,False,False,0.7421672259714294,4380.019676280392
1,9.5,True,RandomForest,RandomForest,RandomForest,HistGradientBoosting,False,False,True,0.6070013827361525,4943.550193442942
1,9.5,True,RandomForest,RandomForest,RandomForest,HistGradientBoosting,False,True,False,2.103797514999152,4097.774801200664
1,9.5,True,RandomForest,RandomForest,RandomForest,HistGradientBoosting,False,True,True,1.968631671763875,4661.3053183632155
1,9.5,True,RandomForest,RandomForest,RandomForest,HistGradientBoosting,True,False,False,0.872110223759647,4379.897599716294
1,9.5,True,RandomForest,RandomForest,RandomForest,HistGradientBoosting,True,False,True,0.7369443805243701,4943.428116878845
1,9.5,True,RandomForest,RandomForest,RandomForest,HistGradientBoosting,True,True,False,2.2337405127873695,4097.652724636568
1,9.5,True,RandomForest,RandomForest,RandomForest,HistGradientBoosting,True,True,True,2.0985746695520926,4661.183241799118
1,9.5,True,RandomForest,RandomForest,RandomForest,RandomForest,False,False,False,0.7978617344188773,4218.783612724136
1,9.5,True,RandomForest,RandomForest,RandomForest,RandomForest,False,False,True,0.6369976852774271,4809.598995071834
1,9.5,True,RandomForest,RandomForest,RandomForest,RandomForest,False,True,False,2.3570404302428822,3906.5397612869074
1,9.5,True,RandomForest,RandomForest,RandomForest,RandomForest,False,True,True,2.196176381101432,4497.355143634605
1,9.5,True,RandomForest,RandomForest,RandomForest,RandomForest,True,False,False,0.9192262884976383,4218.647090985139
1,9.5,True,RandomForest,RandomForest,RandomForest,RandomForest,True,False,True,0.7583622393561881,4809.462473332836
1,9.5,True,RandomForest,RandomForest,RandomForest,RandomForest,True,True,False,2.478404984321644,3906.4032395479103
1,9.5,True,RandomForest,RandomForest,RandomForest,RandomForest,True,True,True,2.3175409351801934,4497.218621895608
1,9.5,True,RandomForest,RandomForest,RandomForest,XGB,False,False,False,0.7002919447043274,4695.244554562267
1,9.5,True,RandomForest,RandomForest,RandomForest,XGB,False,False,True,0.5866212741608118,5186.52223678114
1,9.5,True,RandomForest,RandomForest,RandomForest,XGB,False,True,False,1.8569818937057039,4451.906707610968
1,9.5,True,RandomForest,RandomForest,RandomForest,XGB,False,True,True,1.743311223162188,4943.184389829839
1,9.5,True,RandomForest,RandomForest,RandomForest,XGB,True,False,False,0.7900686012914816,4695.150059860705
1,9.5,True,RandomForest,RandomForest,RandomForest,XGB,True,False,True,0.6763979307479658,5186.427742079579
1,9.5,True,RandomForest,RandomForest,RandomForest,XGB,True,True,False,1.9467585502928582,4451.812212909405
1,9.5,True,RandomForest,RandomForest,RandomForest,XGB,True,True,True,1.8330878797493424,4943.089895128278
1,9.5,True,RandomForest,RandomForest,XGB,HistGradientBoosting,False,False,False,0.7366971642267409,4384.323244930543
1,9.5,True,RandomForest,RandomForest,XGB,HistGradientBoosting,False,False,True,0.6000605593872372,4952.472698216919
1,9.5,True,RandomForest,RandomForest,XGB,HistGradientBoosting,False,True,False,2.0945018399838857,4099.889904946584
1,9.5,True,RandomForest,RandomForest,XGB,HistGradientBoosting,False,True,True,1.9578652351443824,4668.039358232958
1,9.5,True,RandomForest,RandomForest,XGB,HistGradientBoosting,True,False,False,0.8661448382336125,4384.203267507497
1,9.5,True,RandomForest,RandomForest,XGB,HistGradientBoosting,True,False,True,0.7295082333941088,4952.352720793871
1,9.5,True,RandomForest,RandomForest,XGB,HistGradientBoosting,True,True,False,2.2239495139907572,4099.769927523536
1,9.5,True,RandomForest,RandomForest,XGB,HistGradientBoosting,True,True,True,2.0873129091512537,4667.919380809911
1,9.5,True,RandomForest,RandomForest,XGB,RandomForest,False,False,False,0.7923916726741888,4223.087181374288
1,9.5,True,RandomForest,RandomForest,XGB,RandomForest,False,False,True,0.6299715129600573,4818.2761330589665
1,9.5,True,RandomForest,RandomForest,XGB,RandomForest,False,True,False,2.3475012642731037,3908.585482512286
1,9.5,True,RandomForest,RandomForest,XGB,RandomForest,False,True,True,2.1850811045589724,4503.774434196966
1,9.5,True,RandomForest,RandomForest,XGB,RandomForest,True,False,False,0.9132597249048945,4222.95275800601
1,9.5,True,RandomForest,RandomForest,XGB,RandomForest,True,False,True,0.7508395651907632,4818.14170969069
1,9.5,True,RandomForest,RandomForest,XGB,RandomForest,True,True,False,2.468369316503809,3908.4510591440085
1,9.5,True,RandomForest,RandomForest,XGB,RandomForest,True,True,True,2.3059491567896777,4503.640010828687
1,9.5,True,RandomForest,RandomForest,XGB,XGB,False,False,False,0.6948218829596389,4699.548123212419
1,9.5,True,RandomForest,RandomForest,XGB,XGB,False,False,True,0.5798505676797384,5195.817529073598
1,9.5,True,RandomForest,RandomForest,XGB,XGB,False,True,False,1.8481474942447764,4454.0885480769375
1,9.5,True,RandomForest,RandomForest,XGB,XGB,False,True,True,1.7331761789648756,4950.357953938115
1,9.5,True,RandomForest,RandomForest,XGB,XGB,True,False,False,0.7841431007688138,4699.4557322028695
1,9.5,True,RandomForest,RandomForest,XGB,XGB,True,False,True,0.6691717854889132,5195.725138064048
1,9.5,True,RandomForest,RandomForest,XGB,XGB,True,True,False,1.937468712053951,4453.996157067389
1,9.5,True,RandomForest,RandomForest,XGB,XGB,True,True,True,1.8224973967740505,4950.265562928566
1,9.5,True,RandomForest,XGB,HistGradientBoosting,HistGradientBoosting,False,False,False,0.7382400843792396,4380.634716584897
1,9.5,True,RandomForest,XGB,HistGradientBoosting,HistGradientBoosting,False,False,True,0.6025104953759844,4945.793499353427
1,9.5,True,RandomForest,XGB,HistGradientBoosting,HistGradientBoosting,False,True,False,2.0996674646201465,4097.867404118773
1,9.5,True,RandomForest,XGB,HistGradientBoosting,HistGradientBoosting,False,True,True,1.9639378756168915,4663.026186887304
1,9.5,True,RandomForest,XGB,HistGradientBoosting,HistGradientBoosting,True,False,False,0.8678705312815966,4380.514306524569
1,9.5,True,RandomForest,XGB,HistGradientBoosting,HistGradientBoosting,True,False,True,0.7321409422783415,4945.6730892931
1,9.5,True,RandomForest,XGB,HistGradientBoosting,HistGradientBoosting,True,True,False,2.229297911522504,4097.746994058446
1,9.5,True,RandomForest,XGB,HistGradientBoosting,HistGradientBoosting,True,True,True,2.093568322519249,4662.905776826977
1,9.5,True,RandomForest,XGB,HistGradientBoosting,RandomForest,False,False,False,0.7939345928266873,4219.398653028642
1,9.5,True,RandomForest,XGB,HistGradientBoosting,RandomForest,False,False,True,0.6324764689437139,4811.777199904858
1,9.5,True,RandomForest,XGB,HistGradientBoosting,RandomForest,False,True,False,2.352817127848078,3906.6048030006737
1,9.5,True,RandomForest,XGB,HistGradientBoosting,RandomForest,False,True,True,2.191359003965104,4498.98334987689
1,9.5,True,RandomForest,XGB,HistGradientBoosting,RandomForest,True,False,False,0.9149863396060228,4219.263797567439
1,9.5,True,RandomForest,XGB,HistGradientBoosting,RandomForest,True,False,True,0.7535282157230493,4811.642344443655
1,9.5,True,RandomForest,XGB,HistGradientBoosting,RandomForest,True,True,False,2.4738688746274136,3906.4699475394714
1,9.5,True,RandomForest,XGB,HistGradientBoosting,RandomForest,True,True,True,2.31241075074444,4498.848494415687
1,9.5,True,RandomForest,XGB,HistGradientBoosting,XGB,False,False,False,0.6963648031121377,4695.859594866773
1,9.5,True,RandomForest,XGB,HistGradientBoosting,XGB,False,False,True,0.5821834603560081,5188.847061478084
1,9.5,True,RandomForest,XGB,HistGradientBoosting,XGB,False,True,False,1.8529888207789855,4452.000749234925
1,9.5,True,RandomForest,XGB,HistGradientBoosting,XGB,False,True,True,1.7388074780228562,4944.988215846237
1,9.5,True,RandomForest,XGB,HistGradientBoosting,XGB,True,False,False,0.7858466836148077,4695.766769855327
1,9.5,True,RandomForest,XGB,HistGradientBoosting,XGB,True,False,True,0.6716653408586782,5188.754236466639
1,9.5,True,RandomForest,XGB,HistGradientBoosting,XGB,True,True,False,1.9424707012816558,4451.90792422348
1,9.5,True,RandomForest,XGB,HistGradientBoosting,XGB,True,True,True,1.8282893585255267,4944.895390834792
1,9.5,True,RandomForest,XGB,RandomForest,HistGradientBoosting,False,False,False,0.7421672259714294,4380.019676280392
1,9.5,True,RandomForest,XGB,RandomForest,HistGradientBoosting,False,False,True,0.6070013827361525,4943.550193442942
1,9.5,True,RandomForest,XGB,RandomForest,HistGradientBoosting,False,True,False,2.103797514999152,4097.774801200664
1,9.5,True,RandomForest,XGB,RandomForest,HistGradientBoosting,False,True,True,1.968631671763875,4661.3053183632155
1,9.5,True,RandomForest,XGB,RandomForest,HistGradientBoosting,True,False,False,0.8721102237596472,4379.897599716294
1,9.5,True,RandomForest,XGB,RandomForest,HistGradientBoosting,True,False,True,0.7369443805243703,4943.428116878845
1,9.5,True,RandomForest,XGB,RandomForest,HistGradientBoosting,True,True,False,2.2337405127873695,4097.652724636568
1,9.5,True,RandomForest,XGB,RandomForest,HistGradientBoosting,True,True,True,2.0985746695520926,4661.183241799118
1,9.5,True,RandomForest,XGB,RandomForest,RandomForest,False,False,False,0.7978617344188773,4218.783612724136
1,9.5,True,RandomForest,XGB,RandomForest,RandomForest,False,False,True,0.6369976852774271,4809.598995071834
1,9.5,True,RandomForest,XGB,RandomForest,RandomForest,False,True,False,2.3570404302428822,3906.5397612869074
1,9.5,True,RandomForest,XGB,RandomForest,RandomForest,False,True,True,2.196176381101432,4497.355143634605
1,9.5,True,RandomForest,XGB,RandomForest,RandomForest,True,False,False,0.9192262884976383,4218.647090985139
1,9.5,True,RandomForest,XGB,RandomForest,RandomForest,True,False,True,0.7583622393561881,4809.462473332836
1,9.5,True,RandomForest,XGB,RandomForest,RandomForest,True,True,False,2.478404984321644,3906.4032395479103
1,9.5,True,RandomForest,XGB,RandomForest,RandomForest,True,True,True,2.3175409351801934,4497.218621895608
1,9.5,True,RandomForest,XGB,RandomForest,XGB,False,False,False,0.7002919447043274,4695.244554562267
1,9.5,True,RandomForest,XGB,RandomForest,XGB,False,False,True,0.5866212741608118,5186.52223678114
1,9.5,True,RandomForest,XGB,RandomForest,XGB,False,True,False,1.8569818937057039,4451.906707610968
1,9.5,True,RandomForest,XGB,RandomForest,XGB,False,True,True,1.743311223162188,4943.184389829839
1,9.5,True,RandomForest,XGB,RandomForest,XGB,True,False,False,0.7900686012914816,4695.150059860705
1,9.5,True,RandomForest,XGB,RandomForest,XGB,True,False,True,0.676397930747966,5186.427742079579
1,9.5,True,RandomForest,XGB,RandomForest,XGB,True,True,False,1.9467585502928582,4451.812212909405
1,9.5,True,RandomForest,XGB,RandomForest,XGB,True,True,True,1.8330878797493424,4943.089895128278
1,9.5,True,RandomForest,XGB,XGB,HistGradientBoosting,False,False,False,0.7366971642267409,4384.323244930543
1,9.5,True,RandomForest,XGB,XGB,HistGradientBoosting,False,False,True,0.6000605593872372,4952.472698216919
1,9.5,True,RandomForest,XGB,XGB,HistGradientBoosting,False,True,False,2.0945018399838857,4099.889904946584
1,9.5,True,RandomForest,XGB,XGB,HistGradientBoosting,False,True,True,1.9578652351443824,4668.039358232958
1,9.5,True,RandomForest,XGB,XGB,HistGradientBoosting,True,False,False,0.8661448382336125,4384.203267507497
1,9.5,True,RandomForest,XGB,XGB,HistGradientBoosting,True,False,True,0.7295082333941088,4952.352720793871
1,9.5,True,RandomForest,XGB,XGB,HistGradientBoosting,True,True,False,2.2239495139907577,4099.769927523536
1,9.5,True,RandomForest,XGB,XGB,HistGradientBoosting,True,True,True,2.087312909151254,4667.919380809911
1,9.5,True,RandomForest,XGB,XGB,RandomForest,False,False,False,0.7923916726741888,4223.087181374288
1,9.5,True,RandomForest,XGB,XGB,RandomForest,False,False,True,0.6299715129600573,4818.2761330589665
1,9.5,True,RandomForest,XGB,XGB,RandomForest,False,True,False,2.3475012642731037,3908.585482512286
1,9.5,True,RandomForest,XGB,XGB,RandomForest,False,True,True,2.1850811045589724,4503.774434196966
1,9.5,True,RandomForest,XGB,XGB,RandomForest,True,False,False,0.9132597249048945,4222.95275800601
1,9.5,True,RandomForest,XGB,XGB,RandomForest,True,False,True,0.7508395651907632,4818.14170969069
1,9.5,True,RandomForest,XGB,XGB,RandomForest,True,True,False,2.468369316503809,3908.4510591440085
1,9.5,True,RandomForest,XGB,XGB,RandomForest,True,True,True,2.3059491567896777,4503.640010828687
1,9.5,True,RandomForest,XGB,XGB,XGB,False,False,False,0.6948218941688538,4699.547985485486
1,9.5,True,RandomForest,XGB,XGB,XGB,False,False,True,0.5798505676797384,5195.817529073598
1,9.5,True,RandomForest,XGB,XGB,XGB,False,True,False,1.8481474942447764,4454.0885480769375
1,9.5,True,RandomForest,XGB,XGB,XGB,False,True,True,1.7331761789648756,4950.357953938115
1,9.5,True,RandomForest,XGB,XGB,XGB,True,False,False,0.7841431007688138,4699.4557322028695
1,9.5,True,RandomForest,XGB,XGB,XGB,True,False,True,0.6691717854889132,5195.725138064048
1,9.5,True,RandomForest,XGB,XGB,XGB,True,True,False,1.937468712053951,4453.996157067389
1,9.5,True,RandomForest,XGB,XGB,XGB,True,True,True,1.8224973967740505,4950.265562928566
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,False,False,False,0.7598352658647889,4127.527018064084
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,False,False,True,0.641306693054859,4395.98548030862
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,False,True,False,1.2665695652251168,3962.4089956547186
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,False,True,True,1.1480409924151869,4230.867457899255
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,True,False,False,0.7619971278777118,4127.518076829888
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,True,False,True,0.643468555067782,4395.976539074424
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,True,True,False,1.2687314272380399,3962.4000544205232
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,True,True,True,1.15020285442811,4230.85851666506
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,RandomForest,False,False,False,0.8062573535235298,3961.9354979334375
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,RandomForest,False,False,True,0.6696725433225549,4241.570346880766
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,RandomForest,False,True,False,1.382757229061281,3773.958659277558
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,RandomForest,False,True,True,1.2461724188603058,4053.5935082248866
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,RandomForest,True,False,False,0.8085072741398416,3961.9263644125035
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,RandomForest,True,False,True,0.6719224639388667,4241.561213359832
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,RandomForest,True,True,False,1.385007149677593,3773.949525756625
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,RandomForest,True,True,True,1.2484223394766178,4053.5843747039535
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,XGB,False,False,False,0.7139921073268156,4457.415281225833
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,XGB,False,False,True,0.6138787514192019,4696.5987212017935
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,XGB,False,True,False,1.1450648741516203,4317.779766890175
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,XGB,False,True,True,1.0449515182440066,4556.963206866136
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,XGB,True,False,False,0.7159191073646498,4457.406493683044
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,XGB,True,False,True,0.6158057514570359,4696.5899336590055
1,9.5,True,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,XGB,True,True,False,1.1469918741894545,4317.770979347387
